"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Eff.Sample"	"Rhat"
"Intercept"	7.06889590868988	0.0201399992771212	7.02790634156793	7.10878929483321	694.584562870162	1.00595459750889
"trial"	-0.00465284129516887	0.000338877952091955	-0.00531525195988741	-0.00398181346190568	4000	0.999414466041313
"HasRC.C"	0.289974676417284	0.0161650757057253	0.257669673461334	0.322897934770314	4000	0.999515648843538
"compatible.C"	0.0754269934738668	0.0152361962636525	0.0448247520570014	0.105096247463971	4000	0.999430439386618
"EmbeddingBias.C"	-0.0129731099893044	0.00489123380250941	-0.0223855825518409	-0.00326859122180718	4000	0.999993003437508
"HasSC.C"	0.0483922602448466	0.0254574997880853	-0.0023836033245256	0.0996498585579467	4000	0.999625408524713
"HasRC.C:compatible.C"	0.0638958162580286	0.0244642783887912	0.0158744942645528	0.111035032056735	4000	1.00035181548363
"HasRC.C:EmbeddingBias.C"	-0.0232455957586275	0.00959878053247067	-0.0415464229018029	-0.00398878552767931	4000	0.999893900061809
"EmbeddingBias.C:HasSC.C"	-0.0790249997335471	0.0172935818106182	-0.114120700612477	-0.0437335374629217	4000	0.999856178422057
"compatible.C:EmbeddingBias.C"	0.0061051618756824	0.00866889103178995	-0.0115633125630647	0.0231451125550203	4000	0.999691988061127
