"Estimate"	"Est.Error"	"l-95% CI"	"u-95% CI"	"Rhat"	"Bulk_ESS"	"Tail_ESS"
"Intercept"	7.07968912195312	0.0213931726965741	7.03637046217344	7.12121643674192	1.003602846725	399	758
"correct.C"	-0.158484712509107	0.0347127719223963	-0.226086819909372	-0.0908021101953402	1.00083009984246	2541	2841
"EmbeddingBias.C"	-0.0158425946130668	0.00460961518476649	-0.024902641846233	-0.00662093782537128	1.00102688627892	3245	2969
"compatible.C"	0.0766693852501442	0.0157496952499929	0.0453400936666877	0.107568539916235	1.00094627137072	3459	2978
"HasRC.C"	0.29310246927664	0.0160683386071852	0.26202200551998	0.324536528691795	0.999855433199704	3410	3293
"HasSC.C"	0.053308494317698	0.0244293053810659	0.00531535261168417	0.10227336733519	0.999840235435907	2481	2625
"correct.C:EmbeddingBias.C"	-0.00781793942433778	0.0222802970214812	-0.0522578403268591	0.0345993891984173	1.00082570518725	3697	2934
"correct.C:compatible.C"	0.0153734272090835	0.0636505111402429	-0.109855709645285	0.14210430586257	1.0001332304659	3627	3066
"EmbeddingBias.C:compatible.C"	-0.000887836571756173	0.00842557993382914	-0.0176019430332242	0.0154438372987668	1.00019197140545	4261	3133
"compatible.C:HasRC.C"	0.0680303248941884	0.0254228641812711	0.0181359548412976	0.116841981790763	1.00014411513207	3794	2854
"EmbeddingBias.C:HasRC.C"	-0.0192820790806961	0.00979362559003529	-0.0388388019906867	8.51769548162351e-06	1.00058018048728	3767	2839
"EmbeddingBias.C:HasSC.C"	-0.0779881635649516	0.0170199969688865	-0.112682927124519	-0.0441044172230309	1.00042556904947	2735	2750
