"estimate"	"lower"	"upper"	"embBias"	"noun"
"2.5%"	0.0160542910886501	-0.0277995800817571	0.0607051991077246	-2.17797657863037	"admission"
"2.5%1"	-0.0013715519500384	-0.0910623144692675	0.0873157448203712	-0.702955523734442	"allegation"
"2.5%2"	-0.0127065519938959	-0.0642333123726682	0.0367702174803761	0.00238368186287952	"announcement"
"2.5%3"	-0.0256517260874805	-0.0702884396588848	0.0195511553275141	1.52660161069734	"assertion"
"2.5%4"	0.0894216390228201	0.0462626463504106	0.134893300053229	-1.52491624755656	"assessment"
"2.5%5"	-0.0662422075815903	-0.1113211918488	-0.0239442556980314	1.71931991421455	"assumption"
"2.5%6"	-0.0267661465473951	-0.069650862965609	0.015328132993155	1.21604279731132	"assurance"
"2.5%7"	-0.0653819991989566	-0.111340812842993	-0.0213744371062086	1.83993138042781	"belief"
"2.5%8"	0.0438938531580552	0.000803235632690862	0.0894806537890745	-1.661926034827	"complaint"
"2.5%9"	0.0242199509128837	-0.0244762513583775	0.0729838727300663	0.564683101151306	"conclusion"
"2.5%10"	0.00823584688348374	-0.0363059921405757	0.0531730045891323	-1.04021107244339	"confirmation"
"2.5%11"	0.0056777538555328	-0.0385321803986075	0.0504413419457448	1.64529440533036	"contention"
"2.5%12"	0.0140381489969588	-0.0803580409185608	0.112550221284659	0.189880236952848	"conviction"
"2.5%13"	0.00326860399357976	-0.0409611189505217	0.0475135879796973	-1.50626146606335	"declaration"
"2.5%14"	0.0365372878165109	-0.00650621957846957	0.0821021248421603	-1.18939852740119	"disclosure"
"2.5%15"	-0.0975811055704566	-0.140553685989453	-0.0544509385696473	1.92358044168263	"fact"
"2.5%16"	-0.0113832519977386	-0.0670347357189959	0.0464145575471871	-0.994649842303127	"guess"
"2.5%17"	-0.00802745218889054	-0.0513165083046087	0.0364793864765164	1.50881966988924	"impression"
"2.5%18"	0.010258233077855	-0.0795974659521604	0.101329322959826	-0.293164937569089	"indication"
"2.5%19"	-0.0193346726250403	-0.0746373478713251	0.0356889107773752	1.13737154122233	"insinuation"
"2.5%20"	0.012687357744432	-0.0383529311919621	0.0644389602143546	0.929521825252435	"intuition"
"2.5%21"	0.0444886959851651	-0.00311096464786175	0.0950482324743121	-0.342352282037573	"message"
"2.5%22"	0.025508910797953	-0.0239341528145624	0.0729422861255345	-0.770800033130672	"news"
"2.5%23"	-0.0904457174500581	-0.146053605300675	-0.0378320797389449	1.07022302916216	"notion"
"2.5%24"	0.00100928458506248	-0.0984224187303379	0.104190396159812	0.825245070370543	"observation"
"2.5%25"	-0.0148287757235709	-0.0642693205116988	0.0331975070758193	1.1082504930845	"opinion"
"2.5%26"	0.00534012215282686	-0.0948154193159046	0.105786781567694	1.18773065975664	"presumption"
"2.5%27"	-0.00966211885646371	-0.0575144861018514	0.039261459613054	-0.554764937052261	"proof"
"2.5%28"	-0.0386136849995095	-0.0855005880226763	0.00678053859326034	1.31861355308279	"realization"
"2.5%29"	-0.015866828822318	-0.118555992985909	0.085049536990022	-0.351655118222865	"recognition"
"2.5%30"	0.0389946143307848	-0.0115321952262254	0.090364520724054	-0.982460007997112	"remark"
"2.5%31"	0.0855989314337423	0.0432178515639086	0.13051238027672	-2.23245739745907	"report"
"2.5%32"	-0.0544675605520539	-0.103128228103554	-0.00481901203905294	1.11349741018602	"sense"
"2.5%33"	0.0170415289107613	-0.0355944291052736	0.0697459784864583	0.160972119754179	"statement"
"2.5%34"	0.0983421871633975	0.0548566163947857	0.144200974995327	-2.19665708321903	"story"
"2.5%35"	-0.0209391410608095	-0.0683987523831489	0.0262099971165289	0.601906213519191	"suggestion"
"2.5%36"	-0.0053018893527802	-0.0489070585034844	0.0386891542896197	0.849124161877461	"suspicion"
"2.5%37"	0.0150806868145602	-0.081482092773265	0.112287269667134	0.101590485147332	"thought"
"2.5%38"	-0.00621219821336069	-0.0486903030711504	0.0358957403480499	-1.72981015767595	"truth"
"2.5%39"	-0.00518399552268472	-0.103699275926282	0.0904027682060832	0.588324208247494	"view"
