Group	Noun
CLAIM	announcement
CLAIM	assertion
CLAIM	assessment
CLAIM	assumption
CLAIM	belief
CLAIM	conclusion
CLAIM	confirmation
CLAIM	declaration
CLAIM	feeling
CLAIM	indication
CLAIM	inkling
CLAIM	news
CLAIM	notion
CLAIM	opinion
CLAIM	perception
CLAIM	remark
CLAIM	rumor
CLAIM	statement
CLAIM	suggestion
CLAIM	theory
CLAIM	view
CLAIM	assurance
CLAIM	message
CLAIM	contention
CLAIM	impression
CLAIM	sense
CLAIM	presumption
CLAIM	intuition
CLAIM	conjecture
CLAIM	conviction
CLAIM	thought
CLAIM	claim
CLAIM	finding
CLAIM	idea
CLAIM	speculation
CLAIM	guess
CLAIM	report
CLAIM	story
CLAIM	information
CLAIM	evidence
CLAIM	insinuation
CLAIM	prediction
CLAIM	myth
CLAIM	concern
ACCUSATION	allegation
ACCUSATION	accusation
ACCUSATION	insinuation 
ACCUSATION	complaint
ACCUSATION	suspicion
FACT	revelation
FACT	admission
FACT	truth
FACT	fact
FACT	reminder
FACT	disclosure
FACT	realization
FACT	observation
FACT	understanding
FACT	proof
FACT	certainty
FACT	recognition
