Noun	CountWithThat	CountWithoutThat
acusación	145	3559
advertencia	100	1152
afirmación	759	2999
anuncio	206	4152
argumento	1489	7279
aseveración	25	95
caso	4394	88205
casualidad	117	461
causa	398	22062
certeza	418	1109
certidumbre	20	67
circunstancia	538	1186
compromiso	69	4784
conciencia	87	6856
conclusión	4027	8960
condición	2449	12675
confirmación	111	1918
conocimiento	149	13302
consciente	0	46
consecuencia	79	1099
consejo	24	6764
constancia	11	590
contar	0	110
convencimiento	166	306
convicción	590	1116
creencia	2162	6367
cuanta	0	12
cuenta	169	9672
cuestión	56	10494
demostración	90	1699
denuncia	8	4589
deseo	205	7532
desgracia	14	1006
destinatario	0	475
determinación	34	3917
duda	75	2908
ejemplo	28	7461
espera	603	18648
esperanza	2430	11558
evidencia	304	5112
excepción	193	6634
excusa	372	1532
exigencia	107	1410
expectativa	156	973
extremo	77	22294
fama	14	11081
ficción	20	6670
fin	2169	182846
forma	73	117128
frase	26	12832
garantía	114	1250
hecho	18491	31658
hipótesis	1800	5852
historia	141	201271
hora	111	25146
idea	6516	44082
imposibilidad	175	4005
impresion	9	846
impresión	1682	6424
independencia	0	28964
indicio	6	43
información	224	47599
manifiesto	0	948
mensaje	187	8730
mentalidad	15	1194
motivo	224	7530
muestra	13	6523
necesidad	917	28347
noción	417	3932
noticia	2058	10926
objetivo	906	35556
objeto	263	10612
obligación	89	4997
opinión	788	13912
pensamiento	79	7071
percepción	184	4828
pesar	3	95
placer	3	1613
planteamiento	14	867
posibilidad	7166	37009
premisa	460	1538
premonición	5	73
pretexto	428	1790
principio	378	18613
probabilidad	1294	4563
prohibición	136	6569
promesa	384	3785
proposición	39	1187
propuesta	132	16563
prueba	223	31095
punto	2456	58295
razón	461	17860
realidad	66	21826
reconocimiento	85	12861
rencor	0	258
reporte	4	1895
reproche	5	84
resultado	378	30566
riesgo	758	9046
rumor	873	1714
seguridad	271	17425
sensación	1064	4912
sentido	2349	18701
sentimiento	61	2864
señal	47	12996
socialista	0	928
sospecha	433	1471
sueño	16	5056
supuesto	529	3114
temor	474	2577
teoría	1121	23496
terror	1	5298
tesis	433	4914
tópico	13	339
ventaja	521	5583
versión	175	62069
vista	83	11903
voluntad	22	7957
voz	107	25824
único	2	54262
